latitude,longitude
27.76861335,-82.76865184
33.43545250,-112.00711727
33.60616002,-117.923612
41.949279,-87.6463448
37.72467788,-121.92052342
29.7220135,-95.3454276
40.73808374,-73.99064004
33.98053050,-118.46851587
39.080747,-84.195736
48.087517,-122.19636
41.91042553,-87.63888359
33.870987,-118.004716
40.024416,-74.145029
33.45834304,-112.06777811
51.881803,0.292976
43.67094479,-79.38596249
39.3559507,-74.4388269
25.43773280,-100.99340916
40.745002,-74.247995
21.278525,-157.705394
30.268569,-97.736081
42.05188581,-87.74753988
38.964759,-92.331113
52.44713,5.4974202
40.728506,-73.999926
40.881113,-73.951406
38.815083,-77.038589
43.07629,-76.08581
41.8078175,-88.0761409
34.1729483,-118.2289468
40.05675659,-75.08837700
37.61637306,-122.38610744
40.7637209,-73.989186
40.825899,-74.574418
38.989,-77.0984
33.62610877,-83.97641838
-6.127068,106.791275
48.353994,11.788716
36.11510773,-115.13853699
32.21502,-80.70639
33.4964,-112.084
54.9741132,-1.6147177
29.74737704,-95.37704661
-6.193106,106.784001
47.458618,9.431646
25.782868,-80.13020488
41.761566,-72.696841
32.35422551,-95.34489155
26.495504,-81.788953
40.75076822,-73.97661209
40.761845,-73.98424
40.764174,-111.854373
32.9862938,-111.524007
30.28497458,-97.73257256
47.802585,-122.501796
35.05396128,-106.550766
42.3497,-71.0578
48.85590579,2.77430534
33.972586,-118.036962
57.70277145,11.95763111
33.9110743,-84.0007067
3.04395255,101.61804199
38.85304370,-77.04231262
28.0547075,-16.7301589
33.71095356,-112.11238861
44.07580185,-71.68499756
35.29558304,-81.518485
-7.058093,110.433393
28.48424738,-16.38999760
40.6657248,-73.9791354
40.752171,-73.972404
41.9105277,-87.6490543
33.79168155,-118.33333790
40.730075,-73.989241
45.5226006,9.5892118
52.38801579,4.63846207
52.07584641,4.90131855
38.923025,-77.053707
42.68825179,23.32857192
45.409055,11.894705
41.091606,-73.920417
40.831428,-73.35963
40.72685783,-73.98547813
41.62859556,-84.80569839
40.741337,-73.985296
38.90425075,-77.03279614
34.031465,-118.474945
40.701485,-73.989172
29.470615,-98.464322
42.348244,-71.086623
30.31595067,-97.73364544
35.2937508,-81.552025
31.588871,-84.175697
3.079189,101.51014
-6.976413,110.4175307
41.3912096,2.1658511
40.73766508,-73.61371994
40.728506,-73.999926
51.526335,-0.083372
41.592745,-73.980867
43.27819,-78.969405
51.51385720,-0.13650835
42.49067542,-83.48553658
30.26660106,-97.73968577
41.40572190,2.18365610
47.6187,-122.355
41.910574,-87.677996
47.6748649,-122.1296
40.752379,-73.98476
3.42298198,101.79251969
47.60726978,-122.33796716
34.04540561,-118.25156808
42.39592124,-71.14145279
48.85938227,2.43641675
32.7073,-117.16
37.640356,24.341761
40.58345286,-73.66410255
32.08527878,-82.11849248
34.091,-118.35
40.718022,-73.98983
40.65049241,-73.690914
-23.477856,-46.586583
42.34879596,-83.05570294
34.59481150,-120.13829827
40.606682,22.953067
37.802241,-122.410937
45.561518,-73.615161
40.77296938,-73.94983292
40.69817750,-73.97268534
